date,species,mean_value,max_value,latitude,longitude
2026-04-22,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-22,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-23,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-04-23,birch_pollen,3.02,7.5,55.9533,-3.1883
2026-04-23,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-23,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-23,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-23,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-24,alder_pollen,0.1,0.2,55.9533,-3.1883
2026-04-24,birch_pollen,9.45,27.4,55.9533,-3.1883
2026-04-24,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-24,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-24,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-24,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-25,alder_pollen,0.28,0.7,55.9533,-3.1883
2026-04-25,birch_pollen,9.31,22.8,55.9533,-3.1883
2026-04-25,grass_pollen,0.0,0.1,55.9533,-3.1883
2026-04-25,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-25,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-25,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-26,alder_pollen,1.34,5.7,55.9533,-3.1883
2026-04-26,birch_pollen,14.2,32.6,55.9533,-3.1883
2026-04-26,grass_pollen,0.17,0.2,55.9533,-3.1883
2026-04-26,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-26,olive_pollen,0.03,0.1,55.9533,-3.1883
2026-04-26,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-27,alder_pollen,0.02,0.2,55.9533,-3.1883
2026-04-27,birch_pollen,3.32,26.3,55.9533,-3.1883
2026-04-27,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-27,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-27,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-27,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-28,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-04-28,birch_pollen,1.43,6.1,55.9533,-3.1883
2026-04-28,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-28,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-28,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-28,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-29,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-04-29,birch_pollen,7.29,17.9,55.9533,-3.1883
2026-04-29,grass_pollen,0.09,0.3,55.9533,-3.1883
2026-04-29,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-29,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-29,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-30,alder_pollen,0.02,0.1,55.9533,-3.1883
2026-04-30,birch_pollen,17.21,30.2,55.9533,-3.1883
